KOISTAR,KOIPLANET,RP,PERIOD,EPOCH,TEFF,RS,KMAG,ASEMI
,,rearth,day,bjd,k,rsun,,au
244,1,6.50998879088,12.720365,111.527407,6103,1.6649,10.734,0.113
244,2,3.39999414578,6.2385593,104.7045878,6103,1.6649,10.734,0.07
104,0,3.35999421465,2.5080585,67.9997012,4786,0.757,12.895,0.034
148,2,3.14999457623,9.6739281,58.3398075,5190,0.8884,13.04,0.085
122,0,2.77999521331,11.5230629,64.9686593,5714,1.0879,12.346,0.102
261,0,2.69999535106,16.2384791,104.0189546,5692,1.0171,10.297,0.125
116,2,2.68999536828,43.8443762,84.9348827,5865,1.037,12.882,0.244
116,1,2.57999555768,13.5707271,69.2799171,5865,1.037,12.882,0.111
246,1,2.52999564377,5.3987665,106.857144,5793,1.2415,10,0.062
153,1,2.46999574708,8.9251133,72.7121843,4725,0.687,13.461,0.076
82,1,2.44999578151,16.1456735,67.7536612,4908,0.7364,11.492,0.116
148,3,2.3499959537,42.895916,79.0656671,5190,0.8884,13.04,0.23
283,0,2.24999612588,16.0919238,103.5986533,5687,1.0345,11.525,0.126
148,1,2.13999631528,4.7779805,57.0630099,5190,0.8884,13.04,0.053
153,2,2.06999643581,4.7539936,61.546737,4725,0.687,13.461,0.05
299,0,2.06999643581,1.5416821,103.5419976,5538,1.1106,12.899,0.026
245,1,1.99999655634,39.7921956,108.2497317,5288,0.7282,9.71,0.208
975,0,1.71999703845,2.7858189,193.8369104,6131,2.0411,8.224,0.043
292,0,1.6399971762,2.5866272,104.8424997,5780,0.9776,12.872,0.036
321,0,1.58999726229,2.4263076,103.4548391,5538,1.1093,12.52,0.035
305,0,1.56999729673,4.6035711,104.8396968,4782,0.7316,12.97,0.05
82,2,1.28999777884,10.3117522,67.0794345,4908,0.7364,11.492,0.086
82,3,1.0399982093,27.4537815,78.0247202,4908,0.7364,11.492,0.165
116,3,0.869998502007,6.1648897,68.6356205,5865,1.037,12.882,0.066
1612,0,0.759998691409,2.4649988,65.6819708,6027,1.3134,8.769,0.036
245,2,0.749998708627,21.3018475,124.8384969,5288,0.7282,9.71,0.137
82,4,0.699998794719,7.0713053,72.9905645,4908,0.7364,11.492,0.067
82,5,0.519999104648,5.2870294,68.8457316,4908,0.7364,11.492,0.055
245,3,0.339999414578,13.367265,117.0333249,5288,0.7282,9.71,0.1