name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urhostar,urstar,uteff,vmag,vsini,flux,uflux
55 Cnc e,0.0154393,,0.00025732099999999997,0.00025732099999999997,,,4.173,0.602,0.602,0.0,0.314513,,0.03,0.03,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,,,,4.45,8.379902375213417,8.379902375213417,0.3924145264637943,0.3924145264637943,0.905,0.015,0.015,,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,0.736546,2.173,,4.173,,0.1599992327495649,,0.943,0.01,0.01,0.1599992327495649,0.165,,5196.0,24.0,24.0,,0.00025732099999999997,,0.602,0.03,,,,0.3924145264637943,0.3924145264637943,0.015,0.098,0.602,,0.01,24.0,,2.46053,2439.6897016894127,106.40729724045089
CoRoT-7 b,0.017189700000000002,,0.000286495,0.000286495,,,6.23249,1.5298100000000001,1.5298100000000001,0.0,0.05,,0.04,0.04,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L,,,,4.5,5.0214706789193535,5.0214706789193535,0.8638859350205884,0.8638859350205884,0.93,0.03,0.03,,Queloz 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q,0.853585,1.679105313494614,,6.23249,,0.09000811526943761,,0.87,0.04,0.04,0.09000811526943761,,,5275.0,75.0,75.0,,0.000286495,,1.5298100000000001,0.04,,,,0.8638859350205884,0.8638859350205884,0.03,0.09000811526943761,1.5298100000000001,,0.04,75.0,,3.5,1779.4329019225788,201.32836137905926
GJ 1214 b,0.0143253,,0.000577878,0.000577878,,,1.87,0.4,0.4,0.0,0.13,,,,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,,,,5.01,6.26,6.467790514211107,0.9958910645776842,0.9958910645776842,0.157,0.019,0.019,,Anglada-Escude 2013,http://adsabs.harvard.edu/abs/2011ApJ...730...82C,1.58040482,2.8,,1.87,16.736,0.1299120866715793,,0.213,0.0097,0.0097,0.1299120866715793,,,3252.0,130.0,130.0,,0.000577878,,0.4,0.05,,,,0.19,0.9958910645776842,0.019,0.24,0.4,,0.01,20.0,,2.0,22.184199037774583,2.800039973070045
HD 97658 b,0.07963730000000001,,0.00132732,0.00132732,,,3.44,0.82,0.91,0.064,-0.3,,0.08,0.08,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,,,,4.618,7.862465150145625,7.862465150145625,0.7300247564527468,0.7300247564527468,0.748,0.032,0.034,,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,9.4909,2.3399980263714903,,3.44,3.04,0.1498898530283313,,0.703,0.034,0.039,0.18010926507894198,0.183,,5119.0,80.0,80.0,,0.00132732,,0.865,0.08,,,,0.7300247564527468,0.7300247564527468,0.033,0.16499955905363667,0.865,,0.0365,80.0,,0.5,48.00737539790915,6.03478255960941
Kepler-10 b,0.0167573,,0.000374465,0.000374465,,,8.8,2.9,2.1,0.0,-0.15,,0.04,0.04,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,,,,4.341,4.539183971075625,4.539183971075625,1.2484821728432258,1.2484821728432258,0.895,0.06,0.06,,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,0.8374950000000001,1.4159969087972906,,8.8,,0.035999883413555755,,1.056,0.021,0.021,0.03299991181072733,,,5627.0,44.0,44.0,,0.000374465,,2.5,0.04,,,,1.2484821728432258,1.2484821728432258,0.06,0.03449989761214154,2.5,,0.021,44.0,,0.5,3572.047764088561,241.14924521671827
Kepler-11 b,0.0914497,,0.00152417,0.00152417,,,1.72,0.91,1.25,0.045,0.0182,,0.0017,0.0015,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,,4.3660000000000005,1.8999204157878875,1.8999204157878875,0.99994640453952,1.3999503916842422,0.961,0.025,0.025,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,10.3039,1.7979205092425643,,1.72,1.122,0.050440413289224065,,1.065,0.022000000000000002,0.017,0.030264247973534438,,,5663.0,66.0,55.0,,0.00152417,,1.08,0.0016,,,,1.1999483981118808,1.1999483981118808,0.025,0.04035233063137925,1.08,,0.0195,60.5,,0.4,125.1442044450873,8.185504301231497
Kepler-11 c,0.10690899999999999,,0.00178182,0.00178182,,,0.66,0.35,0.66,0.0256125,0.0182,,0.0017,0.0015,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,,4.3660000000000005,2.8998763548257505,2.8998763548257505,1.599936494426032,2.8998763548257505,0.961,0.025,0.025,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,13.0241,2.8674366146658086,,0.66,1.122,0.05994641357771124,,1.065,0.022000000000000002,0.017,0.049955400692996345,,,5663.0,66.0,55.0,,0.00178182,,0.505,0.0016,,,,2.2499064246258915,2.2499064246258915,0.025,0.0549509071353538,0.505,,0.0195,60.5,,0.4,91.56864283996157,5.989369008325868
Kepler-11 d,0.154764,,0.0025794,0.0025794,,,1.28,0.27,0.14,0.0036054999999999998,0.0182,,0.0017,0.0015,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,,4.3660000000000005,7.2997072762880375,7.2997072762880375,1.4999386758059654,0.7999666581299588,0.961,0.025,0.025,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,22.6845,3.117217541274047,,1.28,1.122,0.06993742646242612,,1.065,0.022000000000000002,0.017,0.05994641357771122,,,5663.0,66.0,55.0,,0.0025794,,0.205,0.0016,,,,1.1499526669679625,1.1499526669679625,0.025,0.06494192002006867,0.205,,0.0195,60.5,,0.4,43.69536990672379,2.8580478978215362
Kepler-11 f,0.250413,,0.00417356,0.00417356,,,0.69,0.29,0.32,0.013000000000000001,0.0,,0.1,0.1,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,,4.3660000000000005,2.2979126237822642,2.2979126237822642,1.2003456688761671,2.199656440192829,0.961,0.025,0.025,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,46.6888,2.4871383164265217,,0.69,1.122,0.0699193800034493,,1.065,0.022000000000000002,0.017,0.03995396345620169,,,5663.0,60.0,55.0,,0.00417356,,0.305,0.1,,,,1.700001054534498,1.700001054534498,0.025,0.0549366717298255,0.305,,0.0195,57.5,,0.4,16.690201104719186,1.068910512713123
Kepler-18 b,0.0447299,,0.000745498,0.000745498,,,4.9,2.4,2.4,0.0,0.2,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.41,6.991965451441196,6.991965451441196,3.495982725720598,3.495982725720598,0.972,0.042,0.042,,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C,3.504725,2.0000184318213887,,4.9,1.01,0.09998410811997303,,1.1079999999999999,0.051,0.051,0.09998410811997303,,,5383.0,44.0,44.0,,0.000745498,,2.4,0.04,,,,3.495982725720598,3.495982725720598,0.042,0.09998410811997303,2.4,,0.051,44.0,,0.4,462.2437369588861,47.7136279658241
Kepler-20 b,0.0453704,,0.000756174,0.000756174,,,6.5,2.7,2.0,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,8.474452817113589,8.474452817113589,2.1221060088380037,2.1221060088380037,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,3.6961218999999996,1.9082953425001177,,6.5,1.51,0.2098130640159295,,0.9440000000000001,0.095,0.06,0.11989237879619324,,,5466.0,93.0,93.0,,0.000756174,,2.35,0.04,,,,2.1221060088380037,2.1221060088380037,0.034,0.16485272140606136,2.35,,0.0775,93.0,,,346.71060965950994,62.69890107487526
Kepler-20 c,0.0930411,,0.00155068,0.00155068,,,2.91,1.08,0.85,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,15.733765602088985,15.733765602088985,3.3142234056442703,3.3142234056442703,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,10.854092,3.0672591141562533,,2.91,1.51,0.3097231928630784,,0.9440000000000001,0.095,0.06,0.1998213785923708,,,5466.0,93.0,93.0,,0.00155068,,0.965,0.04,,,,3.3142234056442703,3.3142234056442703,0.034,0.2547722857277245,0.965,,0.0775,93.0,,,82.44468734941518,14.909236784576787
Kepler-20 d,0.34532399999999996,,0.0057554,0.0057554,,,2.035,0.0,4.07,0.0,0.02,,0.04,0.04,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.4,7.52796316661645,7.52796316661645,7.218473350406747,7.218473350406747,0.912,0.034,0.034,,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,77.61184,2.7475453567676893,,2.035,1.51,0.2997315074395196,,0.9440000000000001,0.095,0.06,0.16984856411784074,,,5466.0,93.0,93.0,,0.0057554,,2.035,0.04,,,,7.218473350406747,7.218473350406747,0.034,0.23479003577868016,2.035,,0.0775,93.0,,,5.984926514288709,1.0823098392864097
Kepler-30 b,0.185524,,0.00499738,0.00499738,,,1.02,0.13,0.13,0.042,0.18,,0.27,0.27,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.77,11.30060525258612,11.30060525258612,1.4000743401626996,1.4000743401626996,0.99,0.08,0.08,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,29.334,3.896521926592559,,1.02,2.0,0.1998213785923708,,0.95,0.12,0.12,0.1998213785923708,,,5498.0,54.0,54.0,,0.00499738,,0.13,0.27,,,,1.4000743401626996,1.4000743401626996,0.08,0.1998213785923708,0.13,,0.12,54.0,,1.94,21.49590845318025,5.616502819221962
Kepler-36 b,0.115423,,0.00192372,0.00192372,,,7.46,0.5900000000000001,0.74,0.0,,,,,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,,4.461477809581199,4.461477809581199,0.2706952137189917,0.3308502706638546,1.071,0.043,0.043,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,13.839889999999999,1.4846743337357518,,7.46,0.3508,0.03496876927611671,,1.626,0.019,0.019,0.03496876927611671,,,5911.0,66.0,66.0,,0.00192372,,0.665,,,,,0.30077274219142314,0.30077274219142314,0.043,0.03496876927611671,0.665,,0.019,66.0,,,217.36521938529697,13.1358050475231
Kepler-36 c,0.128401,,0.00214002,0.00214002,,,0.89,0.04999999999999999,0.07,0.0,,,,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,,,,,8.100827608717486,8.100827608717486,0.4611836848448328,0.6015442131164004,1.071,0.043,0.043,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,16.23855,3.675716215173797,,0.89,0.3508,0.053951738592997914,,1.626,0.019,0.019,0.053951738592997914,,,5911.0,66.0,66.0,,0.00214002,,0.06,,,,,0.5313639489806166,0.5313639489806166,0.043,0.053951738592997914,0.06,,0.019,66.0,,,175.6458761239005,10.614623028232543
Kepler-68 b,0.061775,,0.00102958,0.00102958,,,3.32,0.98,0.86,0.0,0.12,,0.07400000000000001,0.07400000000000001,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,,4.281000000000001,8.321392337049312,8.321392337049312,2.4061832087978305,2.205666352314954,1.079,0.051,0.051,,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G,5.398763,2.307940341481005,,3.32,0.7903,0.0899196764114705,,1.2429999999999999,0.019,0.019,0.05994641357771122,,,5793.0,74.0,74.0,,0.00102958,,0.92,0.07400000000000001,,,,2.305924780556392,2.305924780556392,0.051,0.07493304499459087,0.92,,0.019,74.0,,0.5,409.0917422437698,27.915884259805498
Kepler-68 c,0.09070189999999999,,0.0015117000000000002,0.0015117000000000002,,,28.0,23.0,13.0,0.0,0.12,,0.07400000000000001,0.07400000000000001,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,,,,4.281000000000001,4.812379130260117,4.812379130260117,3.60995176257909,2.5057615094908106,1.079,0.051,0.051,,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G,9.605085,0.9521491099857324,,28.0,0.7903,0.04196238862357129,,1.2429999999999999,0.019,0.019,0.036966994271021146,,,5793.0,74.0,74.0,,0.0015117000000000002,,18.0,0.07400000000000001,,,,3.05785663603495,3.05785663603495,0.051,0.03946469144729622,18.0,,0.019,74.0,,0.5,189.76383647910262,12.949248872161402
41.01 ,0.10996315084,6.46,,,0.05,41:59:24 ,,,,,0.02,0.02,,,Borucki 2011,,0.18,6521045.0,41,4.125,0.85,,,,1.08,,,7.05,Marcy 2013,,12.8159,2.2,19:25:32.6 ,0.35,0.44,,0.01355,1.49,,,,,AS   ,5825.0,,,55.94713,,0.04,,0.1,0.1,0.8,0.03,4.0,,0.06,0.05,1.65,0.01,0.04,75.0,11.2,3.7,189.64952298578467,
41.02 ,0.07268362729298844,6.46,,,0.54,41:59:24 ,,,,,0.02,0.02,,,Borucki 2011,,1.9,6521045.0,41,4.125,7.34,,,,1.08,,,10.0,Marcy 2013,,6.88705,1.32,19:25:32.6 ,14.25,0.44,,0.008094,1.49,,,,,AS   ,5825.0,,,66.17797,,0.02,,0.1,0.1,0.8,0.03,3.2,,0.06,0.04,6.33,0.01,0.04,75.0,11.2,3.7,434.08314214147623,
